second,p99_latency_ms,cpu_cores
0,132.80,1.0000
1,134.68,1.0000
2,180.02,1.0000
3,173.79,1.0000
4,210.82,1.0000
5,407.13,1.0000
6,169.05,1.0000
7,250.73,1.0000
8,210.98,1.0000
9,267.81,1.0000
10,172.48,1.0000
11,397.65,1.0000
12,397.78,1.0000
13,216.93,1.0000
14,144.70,1.0000
15,492.89,1.0000
16,170.66,1.0000
17,250.93,1.0000
18,402.34,1.0000
19,238.06,1.0000
20,248.32,1.0000
21,220.25,1.0000
22,137.60,1.0000
23,216.68,1.0000
24,94.45,1.0000
25,158.64,1.0000
26,303.42,1.0000
27,579.01,1.0000
28,166.66,1.0000
29,171.57,1.0000
30,223.42,1.0000
31,177.98,1.0000
32,142.97,1.0000
33,124.28,1.0000
34,129.42,1.0000
35,127.38,1.0000
36,123.91,1.0000
37,125.89,1.0000
38,121.87,1.0000
39,132.75,1.0000
40,132.27,1.0000
41,153.55,1.0000
42,162.22,1.0000
43,123.61,1.0000
44,126.82,1.0000
45,118.52,1.0000
46,120.68,1.0000
47,138.76,1.0000
48,115.07,1.0000
49,123.66,1.0000
50,147.75,1.0000
51,138.95,1.0000
52,185.04,1.0000
53,220.85,1.0000
54,133.40,1.0000
55,298.85,1.0000
56,309.47,1.0000
57,240.88,1.0000
58,176.19,1.0000
59,76.16,1.0000
60,371.72,1.0000
61,125.36,1.0000
62,135.39,1.0000
63,174.55,1.0000
64,153.64,1.0000
65,184.02,1.0000
66,177.39,1.0000
67,213.50,1.0000
68,323.10,1.0000
69,319.99,1.0000
70,170.45,1.0000
71,290.08,1.0000
72,308.20,1.0000
73,139.43,1.0000
74,128.88,1.0000
75,84.40,1.0000
76,222.67,1.0000
77,204.70,1.0000
78,135.40,1.0000
79,167.87,1.0000
80,150.72,1.0000
81,172.08,1.0000
82,121.56,1.0000
83,149.11,1.0000
84,163.44,1.0000
85,137.74,1.0000
86,78.86,1.0000
87,129.92,1.0000
88,127.40,1.0000
89,132.23,1.0000
90,235.91,1.0000
91,315.88,1.0000
92,181.29,1.0000
93,210.49,1.0000
94,130.21,1.0000
95,220.64,1.0000
96,135.51,1.0000
97,151.07,1.0000
98,86.63,1.0000
99,203.21,1.0000
100,178.53,1.0000
101,218.61,1.0000
102,252.63,1.0000
103,327.83,1.0000
104,174.36,2.0000
105,82.56,2.0000
106,176.25,2.0000
107,126.34,2.0000
108,160.46,2.0000
109,128.40,2.0000
110,124.07,2.0000
111,183.13,2.0000
112,145.94,2.0000
113,131.94,2.0000
114,111.80,2.0000
115,113.16,2.0000
116,126.81,2.0000
117,123.40,2.0000
118,115.37,2.0000
119,207.36,2.0000
120,118.75,2.0000
121,134.54,2.0000
122,118.12,2.0000
123,120.46,2.0000
124,120.76,2.0000
125,118.75,2.0000
126,165.61,2.0000
127,115.04,2.0000
128,118.16,2.0000
129,150.21,2.0000
130,128.57,2.0000
131,117.97,2.0000
132,114.05,2.0000
133,115.92,2.0000
134,116.44,2.0000
135,135.72,2.0000
136,130.62,2.0000
137,122.75,2.0000
138,77.10,2.0000
139,121.13,2.0000
140,111.67,2.0000
141,114.13,2.0000
142,123.91,2.0000
143,121.70,2.0000
144,121.32,2.0000
145,121.13,2.0000
146,115.63,2.0000
147,128.44,2.0000
148,128.48,2.0000
149,116.15,2.0000
150,126.31,2.0000
151,140.20,2.0000
152,117.48,2.0000
153,119.72,2.0000
154,152.97,2.0000
155,120.86,2.0000
156,114.49,2.0000
157,119.91,2.0000
158,115.90,2.0000
159,153.01,2.0000
160,120.85,2.0000
161,116.22,2.0000
162,116.16,2.0000
163,169.61,2.0000
164,126.83,2.0000
165,122.11,2.0000
166,140.31,2.0000
167,126.22,2.0000
168,168.04,2.0000
169,147.55,2.0000
170,126.51,2.0000
171,170.05,2.0000
172,120.03,2.0000
173,121.99,2.0000
174,125.12,2.0000
175,130.16,2.0000
176,126.09,2.0000
177,167.08,2.0000
178,150.09,2.0000
179,121.16,2.0000
180,165.19,2.0000
181,132.10,2.0000
182,125.44,2.0000
183,84.13,2.0000
184,74.51,2.0000
185,134.06,2.0000
186,128.08,2.0000
187,140.44,2.0000
188,78.86,2.0000
189,77.52,2.0000
190,129.42,2.0000
191,151.11,2.0000
192,123.93,2.0000
193,121.82,2.0000
194,127.13,2.0000
195,125.51,2.0000
196,141.64,2.0000
197,125.29,2.0000
198,125.38,2.0000
199,155.41,2.0000
200,158.61,2.0000
201,121.15,2.0000
202,139.79,2.0000
203,161.93,2.0000
204,147.07,2.0000
205,121.66,2.0000
206,124.03,2.0000
207,173.04,2.0000
208,97.46,2.0000
209,127.95,2.0000
210,87.98,2.0000
211,118.25,2.0000
212,126.42,2.0000
213,126.54,2.0000
214,127.23,2.0000
215,86.87,2.0000
216,161.29,2.0000
217,162.21,2.0000
218,122.33,2.0000
219,120.89,2.0000
220,124.79,2.0000
221,126.52,2.0000
222,168.71,2.0000
223,126.64,2.0000
224,163.95,2.0000
225,123.28,2.0000
226,156.58,2.0000
227,123.88,2.0000
228,123.08,2.0000
229,164.88,2.0000
